Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000013661067_T1,ZINC000013661067,-10.2,0.309,434.494,4.7062,5,0,49.85,3,33,high,high,none,ZINC,Cc1ccc([C@H]2[C@H]3C(=O)N(c4cccc5ccccc54)C(=O)[C@H]3ON2c2ccccc2)cc1
ZINC000100961974_T1,ZINC000100961974,-10.2,0.309,434.494,4.7062,5,0,49.85,3,33,high,high,none,ZINC,Cc1ccc([C@H]2[C@@H]3C(=O)N(c4cccc5ccccc54)C(=O)[C@H]3ON2c2ccccc2)cc1
ZINC000001588361_T1,ZINC000001588361,-10.2,0.3,440.509,5.648,6,2,103.6,3,34,none,high,none,ZINC,Nc1nc(-c2cc(-c3cccc4ccccc43)nc(N)n2)cc(-c2cccc3ccccc32)n1
ZINC000002896234_T1,ZINC000002896234,-10.2,0.283,472.499,5.3894,6,0,77.32,3,36,high,high,none,ZINC,Cc1ccccc1-c1nc2ccc(-c3ccc4nc(-c5ccccc5C)oc(=O)c4c3)cc2c(=O)o1
ZINC000033433929_T1,ZINC000033433929,-10.2,0.283,476.554,5.2057,5,1,53.39,5,36,none,none,low,ZINC,Cc1ccc(C2=N/C(=C\c3cn(C)c4ccccc34)C(=O)N2CCc2c[nH]c3cc(F)ccc23)cc1
Z2072789500_1_T1,Z2072789500,-10.1,0.337,394.473,4.836,4,0,40.62,2,30,high,high,none,REAL,Cn1c(C(=O)N2CCCc3cc(-c4ccccc4)ccc32)cc2ccccc2c1=O
Z1420416669_1_T2,Z1420416669,-10.1,0.326,433.487,3.1298,7,2,103.96,2,31,high,high,none,REAL,O=c1[nH]c(=O)c2cc(S(=O)(=O)N3CCCc4cc(-c5ccccc5)ccc43)ccc2[nH]1
Z1420416669_1_T4,Z1420416669,-10.1,0.326,433.487,3.1298,7,2,103.96,2,31,high,high,none,REAL,O=c1[nH]c(=O)c2cc(S(=O)(=O)N3CCCc4cc(-c5ccccc5)ccc43)ccc2[nH]1
PV-001872272336_1_T1,PV-001872272336,-10.1,0.316,437.542,2.3674,8,1,85.32,2,32,none,none,none,REAL,Cc1cc(C)cc(C(=O)N2CCC[C@H](C(=O)N3CCN(c4nc(C)cc(=O)[nH]4)CC3)C2)c1
ZINC000039742926_T1,ZINC000039742926,-10.1,0.306,434.454,5.3436,7,2,97.12,5,33,none,high,none,ZINC,O=C(Nc1nnc(-c2ccccc2)o1)c1cccc(NC(=O)c2cccc3ccccc32)c1
ZINC000021867174_T1,ZINC000021867174,-10.1,0.273,492.581,4.5913,8,1,86.86,3,37,none,none,low,ZINC,Cc1cccc(-c2nnn3c2nc(O)c2ccc(C(=O)N4CCN(c5cc(C)ccc5C)CC4)cc23)c1
Z1557588975_1_T1,Z1557588975,-10,0.345,385.47,3.4633,6,3,76.81,2,29,none,none,none,REAL,Cc1[nH]c2ccccc2c1C1=CCN(C(=O)Nc2cc(C)c3cn[nH]c3c2)CC1
Z1334275055_1_T13,Z1334275055,-10,0.333,404.429,2.6359,9,4,128.87,3,30,none,none,low,REAL,O=C(Nc1ccc2[nH]c(C3CCCCC3)nc2c1)c1cnc2[nH]c(=O)[nH]c(=O)c2c1
Z1887042759_4_T1,Z1887042759,-10,0.333,411.426,3.6523,4,1,48.99,3,30,none,none,none,REAL,O=C([C@H]1CCc2[nH]nc(C(F)(F)F)c2C1)N1C[C@@H](c2ccccc2)c2ccccc21
ZINC000006610219_T2,ZINC000006610219,-10,0.323,401.468,4.9316,4,1,46.39,3,31,none,high,none,ZINC,O=c1[nH]c(-c2cn(Cc3cccc4ccccc43)c3ccccc23)nc2ccccc12
Z1744195451_1_T1,Z1744195451,-10,0.313,419.483,4.1228,5,1,62.3,2,32,none,none,none,REAL,O=C(c1cc(-c2ccccc2)nc2ccccc12)N1CC[C@]2(C1)C(=O)Nc1ccccc12
ZINC000009062176_T1,ZINC000009062176,-10,0.303,450.521,5.817,6,2,112.22,5,33,none,high,none,ZINC,O=C(Nc1nnc(-c2ccccc2)s1)c1cccc(NC(=O)c2cccc3ccccc32)c1
ZINC000003671068_T1,ZINC000003671068,-10,0.286,459.5,4.4613,5,2,79.54,3,35,high,high,none,ZINC,O=C(O)[C@H]1C2c3ccccc3C(c3ccccc32)[C@@H]1C(=O)Nc1ccc2c(c1)oc1ccccc12
ZINC000002933672_T1,ZINC000002933672,-10,0.278,513.335,5.9136,6,0,77.32,3,36,high,high,none,ZINC,O=c1oc(-c2ccccc2Cl)nc2ccc(-c3ccc4nc(-c5ccccc5Cl)oc(=O)c4c3)cc21
ZINC000021867174_T2,ZINC000021867174,-10,0.27,492.581,4.5913,8,1,86.86,3,37,none,none,low,ZINC,Cc1cccc(-c2nnn3c2nc(O)c2ccc(C(=O)N4CCN(c5cc(C)ccc5C)CC4)cc23)c1
Z1420928818_1_T1,Z1420928818,-9.9,0.33,396.489,5.2856,4,0,40.62,2,30,high,high,none,REAL,CC(=O)N1CCc2cc(C(=O)N3CCCc4cc(-c5ccccc5)ccc43)ccc21
Z1276023341_1_T1,Z1276023341,-9.9,0.33,402.399,3.659,4,1,49.41,2,30,high,high,none,REAL,O=C(c1cc(=O)[nH]c2ccc(F)cc12)N1CCc2cc(-c3cccc(F)c3)ccc21
Z1419338114_1_T1,Z1419338114,-9.9,0.33,416.5,3.5649,5,1,74.86,2,30,high,high,none,REAL,O=c1ccc2cc(S(=O)(=O)N3CCCc4cc(-c5ccccc5)ccc43)ccc2[nH]1
ZINC000004728718_T1,ZINC000004728718,-9.9,0.319,399.448,4.8048,3,0,37.38,1,31,high,low,none,ZINC,O=C1c2ccccc2C(=O)N1c1ccc2c(c1)C1c3ccccc3C2c2ccccc21
PV-001801324572_1_T1,PV-001801324572,-9.9,0.319,422.542,5.1726,4,0,40.62,2,31,none,none,none,REAL,Cc1cc(C)cc(C(=O)N2CCC[C@H](C(=O)N3[C@H](C)Cc4cc(F)ccc4[C@@H]3C)C2)c1
Z2008630353_2_T1,Z2008630353,-9.9,0.309,426.526,3.2546,8,0,77.55,3,32,none,none,none,REAL,Cn1c(-c2ccc(-n3cnnn3)cc2)nnc1N1CCC[C@@]2(CCCc3ccccc32)C1
PV-001876884527_2_T1,PV-001876884527,-9.9,0.309,436.554,3.7645,7,2,95.42,4,32,none,none,none,REAL,Cc1cc(C)cc(C(=O)N2CCC[C@@H](C(=O)N[C@H]3CC[C@H](c4nccc(O)n4)CC3)C2)c1
