Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1907687576_125_T1,Z1907687576,-9.7,1206500000,419.476,2.4511,6,2,88.77,7,31,none,none,none,REAL,O=Cc1ccc(OCc2occc2C(=O)NC[C@]2(O)[C@@H]3[C@H]4C[C@H]5[C@H]6[C@H]4C[C@H]3[C@@H]6[C@@H]52)cc1
Z2002556837_475_T1,Z2002556837,-9.5,100000,338.402,2.1252,4,0,52.6,7,25,none,none,none,REAL,C[C@H](COC(=O)[C@@]12[C@@H]3C(=O)[C@H]4[C@H]5C[C@H]([C@H]41)[C@H]2[C@H]53)OCc1ccccc1
ZINC000198754475_T1,ZINC000198754475,-9.1,0,464.475,4.78,4,0,68.28,0,36,none,none,none,ZINC,O=C1c2ccccc2C(=O)C2=C3C=CC4=CC5=C(C(=O)c6ccccc6C5=O)C5=CC=C(C=C12)[C@@H]3[C@H]45
Z735794618_4_T1,Z735794618,-9.1,1137,415.516,4.3383,5,2,95.86,4,30,low,high,none,REAL,O=C(C[C@H]1S/C(=N\c2ccc3c(c2)CCC3)NC1=O)Nc1ccc2ccccc2c1
Z819529818_3_T1,Z819529818,-9,15430,449.589,3.9303,5,2,67.79,8,33,none,none,none,REAL,COc1ccc(C23C[C@H]4C[C@@H](CC(C(=O)NC[C@H](O)COc5cccc(C)c5)(C4)C2)C3)cc1
Z1907681999_158_T1,Z1907681999,-9,23965000000,445.436,4.0189,5,2,71.7,6,32,none,none,none,REAL,O=C(NC[C@@]1(O)[C@@H]2[C@H]3C[C@H]4[C@H]5[C@@H]3C[C@@H]2[C@H]5[C@@H]41)c1ccc(-c2ccccc2OC(F)(F)F)o1
Z1905414731_133,Z1905414731,-9,6665000000000,407.556,2.0935,5,3,64.6,6,30,none,none,none,REAL,O=C(NC[C@@H]1CCCN1Cc1ccccc1)NC[C@]1(O)[C@H]2[C@@H]3C[C@@H]4[C@@H]5[C@@H]3C[C@H]2[C@@H]5[C@@H]41
Z1907683179_40_T1,Z1907683179,-9,14588,396.485,0.9928,6,3,87.66,7,29,none,none,none,REAL,CNC(=O)COc1cccc(CC(=O)NC[C@@]2(O)[C@H]3[C@H]4C[C@@H]5[C@@H]6[C@H]4C[C@@H]3[C@@H]6[C@@H]52)c1
ZINC000048523764_T1,ZINC000048523764,-8.9,0,464.475,4.78,4,0,68.28,0,36,none,none,none,ZINC,O=C1c2ccccc2C(=O)C2=C3C=CC4=CC5=C(C(=O)c6ccccc6C5=O)C5=CC=C(C=C12)[C@@H]3[C@@H]45
Z1957164301_2_T1,Z1957164301,-8.8,601.3,444.486,3.1634,7,2,93.73,2,33,none,none,high,REAL,CC1(C)C/C(=C/c2ccc3c(c2)NC(=O)CO3)C(=O)/C(=C/c2ccc3c(c2)NC(=O)CO3)C1
ZINC000240824835_T4,ZINC000240824835,-8.7,0,516.556,2.7342,8,1,103.44,3,39,none,none,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3)[C@H]2C(=O)N1c1ccc2nc(-c3ccc(N4C(=O)[C@@H]5[C@H]6C=C[C@@H](C6)[C@@H]5C4=O)cc3)[nH]c2c1
Z995807442_3_T1,Z995807442,-8.7,1362.3,499.565,3.8352,8,2,96.97,4,37,none,none,none,REAL,O=C(NNC(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1ccc2ccccc2c1)c1ccc2c(c1)OCCO2
ZINC000048523762_T1,ZINC000048523762,-8.7,0,464.475,4.78,4,0,68.28,0,36,none,none,none,ZINC,O=C1c2ccccc2C(=O)C2=C3C=CC4=CC5=C(C(=O)c6ccccc6C5=O)C5=CC=C(C=C12)[C@H]3[C@H]45
Z744861644_1_T1,Z744861644,-8.7,965.37,457.532,2.6213,8,2,84.99,4,34,none,none,none,REAL,O=C(NNC(=O)N1CCN(CC(=O)N2CCc3ccccc32)CC1)c1ccc2ccccc2c1
Z1449094151_13_T1,Z1449094151,-8.7,4884.3,448.564,5.509,4,2,58.2,6,34,none,none,none,REAL,O=C(NC[C@H]1[C@@H]2Cc3ccccc3[C@H]12)c1ccc(C(=O)NC[C@H]2[C@@H]3Cc4ccccc4[C@@H]23)cc1
Z1839408167_2_T2,Z1839408167,-8.7,897.54,448.478,2.0203,9,1,110.19,4,33,none,none,none,REAL,C[C@H]1Oc2ccc(C(=O)C3CCN(C(=O)[C@@H]4CC(c5cccnc5)=NO4)CC3)cc2NC1=O
Z2093731375_1_T1,Z2093731375,-8.7,838.84,446.462,1.594,9,3,124.68,4,33,none,none,none,REAL,O=C1NC(=O)C2(CCC(NC(=O)c3cccc(CN4C(=O)c5ccccc5C4=O)c3)CC2)N1
Z1739548330_6_T1,Z1739548330,-8.7,1276.2,428.534,4.3034,6,2,73.8,3,32,none,none,none,REAL,Cc1nc(-c2ccc(NC(=O)N3C[C@@H](c4ccccc4)[C@@H]4CCCC[C@H]43)cc2)cc(=O)[nH]1
PV-001796281786_24_T1,PV-001796281786,-8.7,12808,370.491,3.127,5,1,58.64,7,27,none,none,none,REAL,CN(CCC(=O)N[C@H]1C[C@H]2C[C@H]1[C@@H]1CCC[C@H]21)C(=O)OCc1ccccc1
ZINC000019782240_T2,ZINC000019782240,-8.6,0,461.648,4.1664,5,1,53.93,2,34,none,none,high,ZINC,CC1(C)C[C@]2(CCCN(Cc3nc4c(c(=O)[nH]3)C3(CCCCC3)Cc3ccccc3-4)C2)CCO1
ZINC000017988176_T4,ZINC000017988176,-8.6,0,521.571,5.5649,5,0,63.68,4,40,none,none,none,ZINC,O=C(Oc1ccc2ccccc2c1)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
Z1161081819_1_T1,Z1161081819,-8.6,1219,494.553,4.0232,9,2,109.22,5,37,none,none,none,REAL,C[C@]1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)Nc2ccc(-c3nnc4n3CCCC4)cc2)C1=O
Z428167628_1_T2,Z428167628,-8.6,699.11,492.524,3.2887,7,1,72.96,5,36,none,high,none,REAL,C[C@]1(c2cc(F)ccc2F)NC(=O)N(CC(=O)N2CCN(Cc3cccc4ccccc34)CC2)C1=O
Z1069485244_2_T2,Z1069485244,-8.6,741.53,488.582,3.6832,7,1,92.78,6,36,none,none,none,REAL,C[C@H]1Oc2ccc(C(=O)C3CCN(C(=O)CCC(=O)c4ccc5c(c4)CCCC5)CC3)cc2NC1=O
Z70913644_3_T1,Z70913644,-8.6,552.57,482.578,4.5524,6,1,67.87,3,36,none,none,none,REAL,CN1CCC2(CC1)C[C@H](NC(=O)c1ccc3c(c1)C[C@H](c1ccccc1)OC3=O)c1ccccc1O2
ZINC000002256624_T6,ZINC000002256624,-8.6,0,459.911,5.5803,6,2,72.58,3,33,none,none,high,ZINC,Cc1ccc(/C(O)=N/C2=NN3C(=NC(c4ccc(Cl)cc4)=C[C@@H]3c3ccc(F)cc3)N2)cc1
PV-001837317975_32_T1,PV-001837317975,-8.6,65521,458.553,2.5397,8,1,94.17,8,33,none,none,none,REAL,CC(C)(C)OC(=O)N1CCO[C@@H](C(=O)N[C@H]2[C@H]3CC[C@@H](C3)[C@H]2C(=O)OCc2ccccc2)C1
Z1170164505_1_T1,Z1170164505,-8.6,944.5,448.485,3.5943,8,1,98.2,6,34,none,none,none,REAL,O=c1[nH]c(CCc2nc(-c3cccc(Cn4cnc5ccccc54)c3)no2)nc2ccccc12
Z2233377075_2_T1,Z2233377075,-8.6,724.57,446.456,3.8896,6,1,75.19,3,33,high,high,none,REAL,C[C@@]1(NC(=O)c2cc(F)cc3cccnc23)CCN(C(=O)c2cc(F)cc3cccnc23)C1
ZINC000408966831_T4,ZINC000408966831,-8.6,0,445.521,1.9213,5,1,54.34,3,34,none,none,none,ZINC,Cn1cc(/C=C/NN2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c2ccccc21
Z1903134234_22_T1,Z1903134234,-8.6,409767,441.501,1.75,7,3,90.9,4,32,none,none,none,REAL,O=C(NC[C@@]1(O)[C@@H]2[C@H]3C[C@@H]4[C@H]5[C@@H]3C[C@@H]2[C@@H]5[C@@H]41)Nc1ccc(C(=O)N2CCOCC2)c(F)c1
ZINC000101836350_T2,ZINC000101836350,-8.6,0,439.493,5.574,6,2,71.84,4,33,none,none,none,ZINC,Cc1ccc(C(=O)Nc2nc3n(n2)[C@@H](c2ccc(F)cc2)C=C(c2ccc(C)cc2)N3)cc1
Z1631362590_2_T1,Z1631362590,-8.6,783.69,435.433,4.1193,7,2,92.93,3,32,none,none,none,REAL,Cc1cc(F)c2nc(O)cc(C(=O)N[C@H]3CCc4nnc(-c5ccc(F)cc5)n4C3)c2c1
Z1739548330_2_T1,Z1739548330,-8.6,1309.1,428.534,4.3034,6,2,73.8,3,32,none,none,none,REAL,Cc1nc(-c2ccc(NC(=O)N3C[C@@H](c4ccccc4)[C@@H]4CCCC[C@@H]43)cc2)cc(=O)[nH]1
Z1733801359_4_T3,Z1733801359,-8.6,757.08,427.55,3.1631,6,2,73.91,3,32,none,none,low,REAL,Cc1nc([C@H]2CCCN(C(=O)NC[C@H]3CC4c5ccccc5C3c3ccccc34)C2)n[nH]1
ZINC000101835312_T2,ZINC000101835312,-8.6,0,421.503,5.4732,6,2,71.84,4,32,none,none,none,ZINC,Cc1ccc(C(=O)Nc2nc3n(n2)[C@@H](c2ccccc2)C=C(c2ccc(C)cc2)N3)cc1
Z1312817858_1_T1,Z1312817858,-8.6,702.17,411.504,2.8349,5,1,52.65,2,31,none,none,none,REAL,CN1CCC(=O)Nc2cc(C(=O)N3Cc4ccccc4[C@H](c4ccccc4)C3)ccc21
