Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000001862466_T1,ZINC000001862466,-11.2,0.32,455.468,5.9223,5,0,65.49,1,35,high,high,none,ZINC,Cc1nc(-c2cc3c(ccc4ccccc43)oc2=O)cc2c1c(=O)oc1ccc3ccccc3c12
Z355404454_1_T4,Z355404454,-10.8,0.348,409.488,3.5319,5,1,56.41,2,31,low,high,none,REAL,Cc1ccc2[nH]c3c(c2c1)CN([C@@H]1CC(=O)N(c2ccc4ccccc4c2)C1=O)CC3
ZINC000002212711_T1,ZINC000002212711,-10.8,0.327,429.474,5.9184,4,1,55.4,3,33,high,high,high,ZINC,O=C(Nc1ccc2c(c1)Cc1ccccc1-2)c1cccc(-c2cc3ccccc3oc2=O)c1
ZINC000408765156_T2,ZINC000408765156,-10.7,0.289,479.578,5.5307,3,0,37.38,4,37,none,none,high,ZINC,O=C1[C@H]2[C@H]3C=C[C@@H](C3=C(c3ccccc3)c3ccccc3)[C@@H]2C(=O)N1c1ccccc1-c1ccccc1
ZINC000408765164_T3,ZINC000408765164,-10.7,0.289,479.578,5.5307,3,0,37.38,4,37,none,none,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3=C(c3ccccc3)c3ccccc3)[C@@H]2C(=O)N1c1ccccc1-c1ccccc1
ZINC000014120765_T2,ZINC000014120765,-10.6,0.342,413.476,3.8066,6,2,78.51,3,31,low,high,none,ZINC,O=C(CN1C(=O)N[C@@]2(CCCCc3ccccc32)C1=O)Nc1ccc2ccccc2c1
ZINC000012847889_T4,ZINC000012847889,-10.6,0.321,436.51,4.798,5,1,66.48,3,33,high,high,none,ZINC,O=C(CN1C(=O)N[C@@]2(CCCCc3ccccc32)C1=O)c1ccc2c(c1)-c1ccccc1C2
ZINC000247756664_T1,ZINC000247756664,-10.6,0.303,465.591,5.8412,4,1,63.24,0,35,none,high,none,ZINC,O=C1c2ccccc2C(=O)c2cc3c(cc21)N[C@@H]1CC[C@H]2[C@H]4[C@@H](CC[C@@H]3[C@H]14)C(=O)[C@H]1CCCC[C@@H]21
ZINC000001099260_T1,ZINC000001099260,-10.6,0.294,474.427,2.6053,8,1,117.69,1,36,none,none,none,ZINC,O=C1NC(=O)c2cc(N3C(=O)c4cc5oc6ccccc6c6ccccc6oc5cc4C3=O)ccc21
ZINC000408765161_T2,ZINC000408765161,-10.6,0.286,479.578,5.5307,3,0,37.38,4,37,none,none,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3=C(c3ccccc3)c3ccccc3)[C@H]2C(=O)N1c1ccccc1-c1ccccc1
Z1101973473_2_T1,Z1101973473,-10.5,0.339,413.476,3.2275,6,2,78.51,3,31,high,high,none,REAL,O=C1CCCc2cc(NC(=O)[C@H]3CC(=O)N(c4cccc5ccccc45)C3)ccc2N1
ZINC000004713898_T1,ZINC000004713898,-10.5,0.339,399.448,5.9292,3,1,38.33,0,31,high,high,none,ZINC,O=C1Nc2ccccc2[C@]12c1ccc3ccccc3c1Oc1ccc3ccccc3c12
Z1897861395_1_T1,Z1897861395,-10.5,0.328,446.486,3.4033,8,1,113.78,3,32,low,high,low,REAL,O=C1Cc2cc(S(=O)(=O)Nc3nnc(-c4cccc5ccccc45)o3)cc3c2N1CCC3
Z2207980234_2_T1,Z2207980234,-10.5,0.328,425.487,3.5202,6,1,69.72,3,32,high,high,none,REAL,Cc1cc2cc(NC(=O)[C@H]3CC(=O)N(c4cccc5ccccc45)C3)ccc2n(C)c1=O
ZINC000198754475_T1,ZINC000198754475,-10.5,0.292,464.475,4.78,4,0,68.28,0,36,none,none,none,ZINC,O=C1c2ccccc2C(=O)C2=C3C=CC4=CC5=C(C(=O)c6ccccc6C5=O)C5=CC=C(C=C12)[C@@H]3[C@H]45
ZINC000245377192_T11,ZINC000245377192,-10.5,0.284,488.542,3.5099,6,0,74.76,2,37,high,high,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3)[C@H]2C(=O)N1c1ccc2c(c1)-c1cc(N3C(=O)[C@@H]4[C@H]5C=C[C@@H](C5)[C@@H]4C3=O)ccc1C2
ZINC000008901217_T1,ZINC000008901217,-10.5,0.276,499.521,5.337,6,1,81.7,4,38,high,high,high,ZINC,Cc1cc(NC(=O)c2cccc(-c3cc4ccccc4oc3=O)c2)ccc1-c1cc2ccccc2oc1=O
ZINC000409337249_T1,ZINC000409337249,-10.5,0.276,499.565,5.7579,5,0,63.68,2,38,high,high,high,ZINC,Cc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4ccc5ccccc5c4C2=C[C@@H]3c2ccccc2)c(C)c1
ZINC000409337254_T1,ZINC000409337254,-10.5,0.276,499.565,5.7579,5,0,63.68,2,38,high,high,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4ccc5ccccc5c4C2=C[C@@H]3c2ccccc2)c(C)c1
Z1102111626_2_T1,Z1102111626,-10.4,0.335,411.504,3.9375,5,1,52.48,3,31,none,none,none,REAL,C[C@H]1Cc2ccccc2N1Cc1ccoc1C(=O)N1CCc2[nH]c3ccccc3c2C1
Z1431635582_2_T4,Z1431635582,-10.4,0.325,431.49,2.34,7,2,95.58,3,32,none,none,none,REAL,CC1(C)C(=O)Nc2ccc(C(=O)CN3C(=O)N[C@@]4(CCCCc5ccccc54)C3=O)cc21
ZINC000100119951_T2,ZINC000100119951,-10.4,0.306,461.544,5.6709,5,0,88.46,4,34,low,high,none,ZINC,O=C1C[C@H](Sc2nc3ccccc3c(-c3ccccc3)n2)C(=O)N1c1ccc2ccccc2c1
ZINC000001588362_T1,ZINC000001588362,-10.4,0.306,440.509,5.648,6,2,103.6,3,34,none,none,none,ZINC,Nc1nc(-c2ccc3ccccc3c2)cc(-c2cc(-c3ccc4ccccc4c3)nc(N)n2)n1
ZINC000245377193_T6,ZINC000245377193,-10.4,0.281,488.542,3.5099,6,0,74.76,2,37,high,high,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3)[C@H]2C(=O)N1c1ccc2c(c1)-c1cc(N3C(=O)[C@@H]4[C@H]5C=C[C@@H](C5)[C@H]4C3=O)ccc1C2
ZINC000408732825_T1,ZINC000408732825,-10.4,0.281,485.538,5.414,5,0,63.68,2,37,high,high,high,ZINC,Cc1ccccc1N1C(=O)[C@H]2[C@H](C1=O)[C@@H]1C(=O)Oc3ccc4ccccc4c3C1=C[C@@H]2c1ccccc1
ZINC000408732832_T1,ZINC000408732832,-10.4,0.281,485.538,5.414,5,0,63.68,2,37,high,high,high,ZINC,Cc1ccccc1N1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C(=O)Oc3ccc4ccccc4c3C1=C[C@@H]2c1ccccc1
ZINC000408731315_T4,ZINC000408731315,-10.4,0.274,499.565,5.7579,5,0,63.68,2,38,low,low,high,ZINC,Cc1ccc(C)c(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@H]3c2ccccc2)c1
Z924788612_1_T1,Z924788612,-10.3,0.343,397.433,3.7471,6,2,78.51,2,30,none,high,none,REAL,O=C1NC(=O)c2cc(NC(=O)N3CC=C(c4cccc5ccccc45)CC3)ccc21
Z1662212871_2_T1,Z1662212871,-10.3,0.332,409.488,5.115,5,0,59.23,4,31,high,high,none,REAL,O=C1C[C@@H](c2nnc(Cc3cccc4ccccc34)o2)CN1c1ccc2c(c1)CCC2
Z1663792332_1_T1,Z1663792332,-10.3,0.332,410.476,4.5721,6,0,72.12,3,31,none,none,none,REAL,Cc1cc(-c2nnc([C@@H]3CC(=O)N(c4ccc5c(c4)CCC5)C3)o2)c2ccccc2n1
ZINC000003192991_T1,ZINC000003192991,-10.3,0.332,408.456,5.1252,5,0,61.31,3,31,none,none,high,ZINC,Cc1ccc(-c2nnc(Oc3ccc4c(C)cc(=O)oc4c3)c3ccccc32)cc1C
ZINC000004713899_T1,ZINC000004713899,-10.3,0.332,399.448,5.9292,3,1,38.33,0,31,high,high,none,ZINC,O=C1Nc2ccccc2[C@@]12c1ccc3ccccc3c1Oc1ccc3ccccc3c12
Z1446836160_2_T4,Z1446836160,-10.3,0.322,435.454,2.3318,7,2,95.58,3,32,none,none,none,REAL,O=C1CCc2cc(C(=O)CN3C(=O)N[C@@]4(CCCCc5ccccc54)C3=O)c(F)cc2N1
ZINC000100485501_T8,ZINC000100485501,-10.3,0.322,410.431,5.3836,4,0,58.86,0,32,low,high,none,ZINC,O=C1c2ccc3c4c(ccc(c24)C2=Nc4ccccc4[C@H]21)C1=Nc2ccccc2[C@@H]1C3=O
ZINC000408687237_T1,ZINC000408687237,-10.3,0.322,420.467,5.2027,5,1,62.55,3,32,high,high,none,ZINC,O=C(Nc1ccc2c(c1)oc1ccccc12)[C@H]1CC(=O)N(c2cccc3ccccc32)C1
ZINC000018117591_T5,ZINC000018117591,-10.3,0.312,431.446,4.7572,5,1,80.31,2,33,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)[C@H]1C=CC=C[C@@H]1C2=O)c1cccc2c1C(=O)c1ccccc1-2
Z1890920427_1_T1,Z1890920427,-10.3,0.312,438.486,3.5657,7,0,79.54,3,33,high,high,none,REAL,Cc1ccc(-c2noc([C@@H]3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)n2)c(=O)n1C
ZINC000009389051_T2,ZINC000009389051,-10.3,0.303,448.477,4.4395,6,1,75.71,3,34,high,high,none,ZINC,C[C@]1(c2ccc3ccccc3c2)NC(=O)N(Cc2cc(=O)oc3ccc4ccccc4c23)C1=O
ZINC000585656590_T2,ZINC000585656590,-10.3,0.294,454.528,5.8222,4,0,49.74,4,35,high,high,none,ZINC,O=C(Cn1ccc(=NC(=O)c2ccccc2)c2ccccc21)c1ccc2c(c1)Cc1ccccc1-2
Z988053876_1_T1,Z988053876,-10.3,0.278,494.593,5.0683,7,1,72.96,3,37,none,none,none,REAL,O=C(Nc1cccc(C(=O)N2CCc3ccccc32)c1)N1CCC(C(=O)N2CCc3ccccc32)CC1
ZINC000408731626_T4,ZINC000408731626,-10.3,0.271,499.565,5.7579,5,0,63.68,2,38,low,high,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@H]3c2ccccc2)cc1C
ZINC000059785691_T1,ZINC000059785691,-10.3,0.257,527.622,4.1557,6,2,78.51,3,40,none,none,none,ZINC,CCc1ccc2c(c1)[C@]1(C(=O)N2)N2CCC[C@@H]2[C@@H](C(=O)c2ccc3ccccc3c2)[C@]12c1ccccc1NC2=O
ZINC000059932650_T1,ZINC000059932650,-10.3,0.257,527.622,4.084,6,2,78.51,2,40,none,none,none,ZINC,Cc1ccc2c(c1C)NC(=O)[C@@]21N2CCC[C@@H]2[C@@H](C(=O)c2ccc3ccccc3c2)[C@]12c1ccccc1NC2=O
ZINC000001570225_T1,ZINC000001570225,-10.2,0.364,358.439,5.7071,1,0,17.07,2,28,none,none,high,ZINC,O=C1c2ccccc2C(=C(c2ccccc2)c2ccccc2)c2ccccc21
ZINC000059474345_T1,ZINC000059474345,-10.2,0.364,364.399,5.3344,3,0,43.37,3,28,none,none,none,ZINC,O=C(Cc1cc2cc3ccccc3cc2oc1=O)c1ccc2ccccc2c1
Z2032865632_1_T2,Z2032865632,-10.2,0.352,381.434,4.7622,5,1,63.99,3,29,none,none,high,REAL,O=C1CC[C@H](C(=O)Nc2nc3ccccc3n2-c2ccccc2)c2ccccc21
Z2090600440_8_T1,Z2090600440,-10.2,0.34,395.501,5.7394,3,0,29.54,2,30,high,high,none,REAL,O=C(c1ccc2c(c1)-c1ccccc1C2)N1C[C@@H](c2ccccc2)[C@H]2COCC[C@H]21
Z232376928_2_T4,Z232376928,-10.2,0.34,395.461,3.188,5,1,56.41,2,30,low,high,none,REAL,O=C1C[C@@H](N2CCc3[nH]c4ccccc4c3C2)C(=O)N1c1ccc2ccccc2c1
