Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1413840855_1_T1,Z1413840855,-9.4,0.285,443.502,2.9974,7,1,82.45,4,33,none,none,none,REAL,Cn1cc(/C=C/C(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)c(-c2ccc3c(c2)OCCCO3)n1
Z1314038522_1_T1,Z1314038522,-9.4,0.285,441.529,3.7558,6,2,70.67,4,33,none,none,none,REAL,CN1CCC(=O)Nc2cc(C(=O)NCc3ccc(-c4ccc5c(c4)CCCO5)cc3)ccc21
ZINC000001099260_T1,ZINC000001099260,-9.4,0.261,474.427,2.6053,8,1,117.69,1,36,none,none,none,ZINC,O=C1NC(=O)c2cc(N3C(=O)c4cc5oc6ccccc6c6ccccc6oc5cc4C3=O)ccc21
ZINC000408827077_T1,ZINC000408827077,-9.3,0.291,421.451,4.7739,5,2,83.47,2,32,low,none,none,ZINC,O=C(O)c1ccc([C@@H]2Nc3ccc4c(c3[C@@H]3C=CC[C@@H]32)C(=O)c2ccccc2C4=O)cc1
Z749631200_1_T1,Z749631200,-9.3,0.282,476.939,4.1289,6,1,95.69,1,33,low,low,low,REAL,O=C1c2ccccc2S(=O)(=O)c2cc(C(=O)N3CCc4[nH]c5ccc(Cl)cc5c4C3)ccc21
Z1413840855_2_T1,Z1413840855,-9.3,0.282,443.502,2.9974,7,1,82.45,4,33,none,none,none,REAL,Cn1cc(/C=C\C(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)c(-c2ccc3c(c2)OCCCO3)n1
ZINC000002832254_T1,ZINC000002832254,-9.3,0.266,473.507,5.1185,5,0,93.73,2,35,high,high,none,ZINC,O=c1oc2ccc3ccccc3c2cc1-c1csc(-c2cc3c(ccc4ccccc43)oc2=O)n1
Z443975892_1_T1,Z443975892,-9.3,0.258,490.465,3.0588,8,4,116.4,4,36,none,none,none,REAL,O=C1CCc2cc(F)c(NC(=O)c3cccc(C(=O)Nc4cc5c(cc4F)CCC(=O)N5)c3)cc2N1
Z119684146_3_T1,Z119684146,-9.3,0.251,498.533,3.4804,8,0,85.38,3,37,none,none,none,REAL,O=C1O[C@H](c2ccccc2)Cc2cc(C(=O)N3C[C@@H](C(=O)N4CCOCC4)Oc4ccccc43)ccc21
Z1684582129_1_T2,Z1684582129,-9.2,0.297,421.387,1.9178,9,3,126.22,3,31,none,none,none,REAL,C[C@]1(c2cccc(-c3noc(-c4cc5c(cc4F)NC(=O)CC5)n3)c2)NC(=O)NC1=O
Z1682392311_2_T2,Z1682392311,-9.2,0.297,421.387,1.9178,9,3,126.22,3,31,none,none,none,REAL,C[C@@]1(c2ccc(-c3noc(-c4cc5c(cc4F)NC(=O)CC5)n3)cc2)NC(=O)NC1=O
Z1684581689_4_T2,Z1684581689,-9.2,0.287,439.377,3.2801,9,2,118.71,4,32,none,none,none,REAL,C[C@@]1(c2cccc(-c3noc([C@H]4CC(c5cc(F)ccc5F)=NO4)n3)c2)NC(=O)NC1=O
Z1335131363_2_T5,Z1335131363,-9.2,0.287,425.487,3.8056,6,2,78.51,3,32,none,high,none,REAL,C[C@@]1(c2ccc(C(=O)N3CC=C(c4cccc5ccccc45)CC3)cc2)NC(=O)NC1=O
Z1335131363_1_T5,Z1335131363,-9.2,0.287,425.487,3.8056,6,2,78.51,3,32,none,high,none,REAL,C[C@]1(c2ccc(C(=O)N3CC=C(c4cccc5ccccc45)CC3)cc2)NC(=O)NC1=O
PV-001830534322_2,PV-001830534322,-9.2,0.287,448.415,4.2784,5,0,49.85,3,32,none,none,low,REAL,O=C(C1=Cc2ccccc2O[C@H]1C(F)(F)F)N1CCCN(C(=O)c2ccc(F)cc2)CC1
