Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000100504092_T1,ZINC000100504092,-11.7,0.377,404.512,5.0853,3,0,23.55,2,31,high,high,none,ZINC,O=c1cccc2n1C[C@H]1C[C@H]2CN(Cc2ccc3ccc4cccc5ccc2c3c45)C1
Z1428257796_1_T2,Z1428257796,-11.3,0.404,373.411,4.2371,6,1,79.46,2,28,none,none,none,REAL,O=C(c1cc(O)nc2ccccc12)N1CCCC[C@@H]1c1nc2ccccc2o1
ZINC000100219587_T1,ZINC000100219587,-11.3,0.365,411.508,2.9877,6,1,66.55,3,31,none,none,none,ZINC,Cc1cc2nc3c(c(O)n2n1)C[C@H]1CC[C@H](C3)N1Cc1ccc(-c2ccccn2)cc1
ZINC000004090796_T1,ZINC000004090796,-11.2,0.4,371.435,5.3196,4,0,38.77,1,28,none,none,none,ZINC,O=C1CCCC2=C1[C@H](c1ccccc1)C=C1c3cc4c(cc3CCN12)OCO4
Z1983287764_32,Z1983287764,-11.2,0.386,395.433,2.7145,6,1,75.44,3,29,high,none,none,REAL,O=C1N[C@@]2(C[C@H]3C[C@H]2[C@H]2CCC[C@H]32)C(=O)N1Cc1ncc(-c2ccc(F)cc2)o1
Z362739648_1_T1,Z362739648,-11.2,0.311,475.551,3.3919,7,2,85.09,2,36,none,none,none,REAL,O=C(c1cccc(C(=O)N2CCc3[nH]c4ccccc4c3C2)n1)N1CCc2[nH]c3ccccc3c2C1
ZINC000005451173_T1,ZINC000005451173,-11.1,0.383,389.425,5.4204,4,0,38.77,1,29,none,none,none,ZINC,O=C1CCCC2=C1[C@H](c1ccc(F)cc1)C=C1c3cc4c(cc3CCN12)OCO4
ZINC000004660212_T1,ZINC000004660212,-11.1,0.347,419.527,4.9125,4,3,60.68,2,32,none,none,low,ZINC,Cc1[nH]c2ccccc2c1C1(c2c(C)[nH]c3ccccc32)c2cc(C)cc(C)c2NC1=O
Z2668909623_1_T2,Z2668909623,-11,0.407,368.382,4.5374,4,1,53.43,2,27,none,none,none,REAL,O=C(c1cc(O)nc2ccccc12)N1CCCC[C@@H]1c1ccc(F)cc1F
PV-001815193777_1_T2,PV-001815193777,-11,0.393,382.409,4.7438,4,1,53.43,3,28,none,none,none,REAL,C[C@]1(Cc2ccc(F)c(F)c2)CCCN1C(=O)c1cc(O)nc2ccccc12
Z2719795306_3_T1,Z2719795306,-11,0.393,381.406,1.5885,6,2,78.51,3,28,none,none,low,REAL,O=C(N[C@@H]1Cc2ccccc2NC1=O)[C@H]1CCC(=O)N(c2cccc(F)c2)C1
Z1616250975_2_T1,Z1616250975,-11,0.379,399.44,4.2311,5,2,61.44,2,29,none,none,none,REAL,O=C1CCc2cc(F)c(NC(=O)N3CCC[C@@H](c4ccc(F)cc4)CC3)cc2N1
Z1897866162_1_T1,Z1897866162,-11,0.367,419.46,4.2127,7,1,102.7,3,30,none,high,none,REAL,O=S(=O)(Nc1nnc(-c2ccc3ccccc3c2)o1)C1=Cc2ccccc2OCC1
Z1663738465_1_T1,Z1663738465,-11,0.344,424.546,3.6579,5,0,49.33,2,32,none,none,none,REAL,O=C([C@@H]1C[C@@H]2CCCC[C@@H]2N1c1ncccn1)N1Cc2ccccc2-c2ccccc2C1
ZINC000409044452_T2,ZINC000409044452,-11,0.324,465.979,5.1653,3,0,37.38,3,34,none,none,high,ZINC,Cc1ccc(C(=C2[C@H]3C=C[C@H]2[C@@H]2C(=O)N(c4cccc(Cl)c4)C(=O)[C@@H]32)c2ccc(C)cc2)cc1
ZINC000409372284_T8,ZINC000409372284,-11,0.306,475.551,4.3831,7,5,113.61,5,36,none,none,none,ZINC,Cc1ccc(-c2n[nH]c(O)c2C(c2c[nH]c3ccccc32)c2c(O)[nH]nc2-c2ccc(C)cc2)cc1
PV-001806635110_1_T2,PV-001806635110,-10.9,0.419,366.847,4.9418,4,1,53.43,2,26,none,none,none,REAL,O=C(c1cc(O)nc2ccccc12)N1CCCC[C@@H]1c1ccc(Cl)cc1
Z1724349206_1_T1,Z1724349206,-10.9,0.404,353.424,3.2457,4,0,38.13,1,27,high,none,none,REAL,Cn1nc2ccccc2c1C(=O)N1Cc2ccccc2-c2ccccc2C1
Z1897888291_1_T1,Z1897888291,-10.9,0.389,391.45,4.1625,6,1,93.47,3,28,none,high,none,REAL,O=S(=O)(Nc1nnc(-c2ccc3c(c2)CCC3)o1)c1ccc2ccccc2c1
