Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000004625770_T1,ZINC000004625770,-9.8,0.316,408.46,4.6537,6,2,72.09,2,31,none,none,none,ZINC,CNC(=O)C1=C(C)Nc2nc3ccccc3n2[C@@H]1c1ccc2oc3ccccc3c2c1
ZINC000239338793_T1,ZINC000239338793,-9.2,0.271,472.564,4.4284,6,0,83.14,1,34,low,low,low,ZINC,Cc1ccc2c(c1)[C@H]1CN(C)CC[C@H]1N2C(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O
Z2608120210_1_T6,Z2608120210,-9.2,0.329,379.379,0.36,10,3,138.69,3,28,none,none,none,REAL,C[C@]1(c2cccc(-c3noc([C@@H]4CCCc5[nH]nnc54)n3)c2)NC(=O)NC1=O
Z1588380887_2_T2,Z1588380887,-9.2,0.307,398.421,2.0091,7,2,92.68,5,30,none,none,none,REAL,O=C(OCc1nc(=O)[nH][nH]1)c1c2c(nc3ccccc13)/C(=C\c1ccccc1)CC2
Z1580134599_2_T1,Z1580134599,-9.2,0.279,437.502,3.3336,7,2,102.9,4,33,none,none,none,REAL,Cc1ccc(/C=C2/CCc3c2nc2ccccc2c3C(=O)Nc2nn(C)cc2C(N)=O)cc1
ZINC000588226487_T1,ZINC000588226487,-9.1,0.294,422.511,2.4778,5,1,82.36,2,31,high,high,none,ZINC,CSC1=NC(=O)C2=c3ccccc3=N[C@@H](c3c4ccccc4cc4ccccc43)N2N1
ZINC000101076130_T4,ZINC000101076130,-9,0.237,499.521,4.2933,6,0,80.75,3,38,high,high,high,ZINC,O=C1c2ccccc2C(=O)C12O[C@@H](c1ccccc1)[C@@H]1C(=O)N(c3ccc(-c4ccccc4)cc3)C(=O)[C@@H]12
Z2608120210_2_T6,Z2608120210,-9,0.321,379.379,0.36,10,3,138.69,3,28,none,none,none,REAL,C[C@@]1(c2cccc(-c3noc([C@@H]4CCCc5[nH]nnc54)n3)c2)NC(=O)NC1=O
Z2608120210_1_T1,Z2608120210,-9,0.321,379.379,0.36,10,3,138.69,3,28,none,none,none,REAL,C[C@]1(c2cccc(-c3noc([C@@H]4CCCc5[nH]nnc54)n3)c2)NC(=O)NC1=O
Z2476256758_13_T1,Z2476256758,-9,0.31,393.402,0.9192,9,3,126.22,3,29,none,none,none,REAL,C[C@]1(c2cccc(-c3noc([C@]45C[C@H]6C[C@@H](C(=O)N4)[C@@H]5C6)n3)c2)NC(=O)NC1=O
Z2227159520_1_T1,Z2227159520,-9,0.273,431.458,3.8348,8,2,100.86,4,33,none,none,none,REAL,O=C(Nc1nnc2[nH]cnn12)c1cc(-c2ccc(-c3ccccc3)cc2)nc2ccccc12
Z1381945046_1_T2,Z1381945046,-9,0.281,449.872,3.5209,7,3,95.48,4,32,none,none,none,REAL,O=C(NCc1n[nH]c(=O)[nH]1)c1c2c(nc3ccccc13)/C(=C/c1c(F)cccc1Cl)CC2
Z1313223611_1_T4,Z1313223611,-9,0.321,368.395,3.9951,6,2,87.74,5,28,high,high,none,REAL,O=C(CCC(=O)c1ccc2ccc3cccc4ccc1c2c34)Nc1nnc[nH]1
Z1162534781_1_T2,Z1162534781,-9,0.29,431.427,2.5388,8,2,130.15,1,31,low,low,low,REAL,O=C(Nc1nc2ccccc2c(=O)[nH]1)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O
ZINC000100504092_T1,ZINC000100504092,-8.9,0.287,404.512,5.0853,3,0,23.55,2,31,high,high,none,ZINC,O=c1cccc2n1C[C@H]1C[C@H]2CN(Cc2ccc3ccc4cccc5ccc2c3c45)C1
ZINC000002751243_T1,ZINC000002751243,-8.9,0.254,455.468,4.7186,5,0,71.52,1,35,high,high,none,ZINC,O=C1c2cc3oc4ccccc4c4ccccc4oc3cc2C(=O)N1c1cccc2ccccc21
Z298859774_2_T1,Z298859774,-8.9,0.241,491.546,4.5306,7,2,89.55,3,37,none,none,high,REAL,O=C(N[C@H]1CCCc2[nH]c(=O)ccc21)c1c2c(nc3ccccc13)/C(=C/c1ccc3c(c1)OCO3)CC2
Z2902754635_1_T3,Z2902754635,-8.9,0.342,339.357,3.87,6,1,80.49,3,26,high,high,none,REAL,c1ccc(-c2ccc(-c3noc(-c4cccc5nn[nH]c45)n3)cc2)cc1
Z2608120210_2_T1,Z2608120210,-8.9,0.318,379.379,0.36,10,3,138.69,3,28,none,none,none,REAL,C[C@@]1(c2cccc(-c3noc([C@@H]4CCCc5[nH]nnc54)n3)c2)NC(=O)NC1=O
Z2608004674_1_T7,Z2608004674,-8.9,0.318,379.379,0.36,10,3,138.69,3,28,none,none,none,REAL,C[C@]1(c2ccc(-c3noc([C@@H]4CCCc5[nH]nnc54)n3)cc2)NC(=O)NC1=O
Z2221930705_1_T1,Z2221930705,-8.9,0.287,421.412,0.5477,10,2,134.5,4,31,none,low,high,REAL,C[C@]1(c2cccc(-c3noc(CN4C(=O)[C@H]5CC=CC[C@H]5C4=O)n3)c2)NC(=O)NC1=O
Z2002423492_37,Z2002423492,-8.9,0.278,425.483,3.177,5,0,63.68,4,32,none,none,none,REAL,O=C1[C@@H]2[C@@H]3C[C@H]4[C@@H]2[C@]2(C(=O)Oc5cccc(C(=O)N6CCc7ccccc7C6)c5)[C@H]1[C@@H]3[C@@H]42
Z1588380887_1_T2,Z1588380887,-8.9,0.297,398.421,2.0091,7,2,92.68,5,30,none,none,none,REAL,O=C(OCc1nc(=O)[nH][nH]1)c1c2c(nc3ccccc13)/C(=C/c1ccccc1)CC2
Z1329937673_1_T5,Z1329937673,-8.9,0.297,398.421,3.2955,7,2,94.89,2,30,high,high,none,REAL,Cc1cc(C(=O)N(C)C2c3ccccc3-c3ccccc32)nc2nc(O)[nH]c(=O)c12
ZINC000408563977_T1,ZINC000408563977,-8.8,0.251,473.503,2.2878,7,1,87.39,5,35,none,none,none,ZINC,O=C1Nc2ccccc2[C@]12[C@H]([N+](=O)[O-])[C@@H](c1ccc(OCc3ccccc3F)cc1)[C@@H]1CCCN12
ZINC000104879883_T1,ZINC000104879883,-8.8,0.251,466.543,4.1197,8,1,107.12,6,35,high,low,low,ZINC,C[C@@H](OC(=O)c1c2c(nc3ccccc31)/C(=C\c1ccccc1)CC2)c1nc(N)nc(N(C)C)n1
ZINC000100485510_T6,ZINC000100485510,-8.8,0.275,410.431,5.3836,4,0,58.86,0,32,low,high,none,ZINC,O=C1c2ccc3c4c(ccc(c24)C2=Nc4ccccc4[C@H]21)C1=Nc2ccccc2[C@H]1C3=O
