Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z100370010_2_T2,Z100370010,-10.8,0.318,450.505,3.8632,9,1,100.66,4,34,none,high,none,REAL,C/C(=N/Nc1nc2ccccc2c(=O)n1-c1ccc(C)cc1C)c1cccc(-n2cnnn2)c1
ZINC000230013090_T2,ZINC000230013090,-10.7,0.306,466.539,3.2878,7,1,76.45,2,35,none,none,none,ZINC,Cc1ccc(N2C(=O)[C@]3(Cc4ccccc4N4CCN(c5ccccc5)C[C@H]43)C(=O)N=C2O)cc1
Z916986696_2_T2,Z916986696,-10.7,0.306,467.528,4.6471,8,1,86.6,4,35,low,high,none,REAL,C/C(=N/Nc1nc2ccccc2c(=O)n1-c1ccc(C)cc1C)c1cccc(N2CCOC2=O)c1
ZINC000002840892_T4,ZINC000002840892,-10.6,0.321,453.477,2.7375,7,0,124.33,2,33,none,none,none,ZINC,O=C1[C@@H]2[C@@H](C(=O)N1c1nc3ccccc3s1)C1c3ccccc3C2([N+](=O)[O-])c2ccccc21
Z916986700_1_T3,Z916986700,-10.6,0.303,467.528,4.6471,8,1,86.6,4,35,low,high,none,REAL,C/C(=N\Nc1nc2ccccc2c(=O)n1-c1cccc(C)c1C)c1cccc(N2CCOC2=O)c1
Z2007564992_2_T1,Z2007564992,-10.5,0.339,433.578,4.4316,6,1,91.29,2,31,none,none,none,REAL,Cn1c(-c2cc3c(s2)CCCCCC3)nnc1N1CC[C@@]2(C1)C(=O)Nc1ccccc12
Z448673858_1_T1,Z448673858,-10.5,0.3,465.512,1.6903,8,4,111.69,4,35,none,none,none,REAL,O=C(NC[C@@H]1CC2c3ccccc3C1c1ccccc12)NNC(=O)c1n[nH]c(=O)c2ccccc12
Z363547144_1_T1,Z363547144,-10.5,0.292,496.913,4.1854,9,1,103.53,3,36,none,none,high,REAL,O=C(Nc1nnc2ccc(Cl)nn12)c1c2c(nc3ccccc13)/C(=C/c1ccc3c(c1)OCO3)CC2
Z104027022_1_T1,Z104027022,-10.4,0.335,441.482,4.3218,7,0,97.82,3,31,none,none,none,REAL,Cc1c(-c2nnc(-c3cccc(S(=O)(=O)N4CCCCC4)c3)o2)oc2c(F)cccc12
Z1039647126_1_T3,Z1039647126,-10.4,0.306,472.615,4.688,7,1,106.25,4,34,none,none,low,REAL,O=C([C@@H]1CCCN(c2nc3ccccc3s2)C1)N1CCC(c2nc(-c3ccccc3)n[nH]2)CC1
Z449520874_1_T2,Z449520874,-10.4,0.306,451.529,4.4159,7,2,86.16,3,34,none,high,none,REAL,C/C(=N\Nc1nc2ccccc2c(=O)n1-c1ccc(C)cc1C)c1ccc2c(c1)CCC(=O)N2
ZINC000020533997_T1,ZINC000020533997,-10.4,0.306,445.473,3.5808,5,1,74.68,2,34,high,high,high,ZINC,O=C(O)C12c3ccccc3C(c3ccccc31)[C@H]1C(=O)N(c3cccc4ccccc43)C(=O)[C@H]12
ZINC000020533999_T1,ZINC000020533999,-10.4,0.306,445.473,3.5808,5,1,74.68,2,34,high,high,high,ZINC,O=C(O)C12c3ccccc3C(c3ccccc31)[C@@H]1C(=O)N(c3cccc4ccccc43)C(=O)[C@H]12
