Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000100688954_T11,ZINC000100688954,-10.3,0.264,511.58,4.6045,6,0,70.05,4,39,none,none,none,ZINC,Cc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@H]2c4ccccc4C=NN2[C@@H]3C(=O)c2ccc(-c3ccccc3)cc2)cc1
Z1452691933_2,Z1452691933,-10.1,0.306,445.493,3.8376,6,3,79.46,7,33,none,none,none,REAL,O=C(NC[C@H]1[C@@H]2Cc3ccccc3[C@H]12)NNC(=O)c1ccccc1OCc1ccc(F)cc1
Z2087363989_1_T4,Z2087363989,-10,0.313,420.427,4.1709,7,1,88.33,3,32,high,none,none,REAL,O=C1N[C@H](c2ccc3ccccc3c2)C(=O)N1c1cc(-c2ccc3ncccc3c2)on1
Z1948615421_357_T1,Z1948615421,-9.9,0.367,361.444,1.511,5,3,73.99,4,27,none,none,none,REAL,O=C(Cc1c[nH]c2ccccc12)NNC(=O)[C@@H]1[C@@H]2[C@H]3C[C@@H]4[C@@H]5[C@H]3C[C@H]2[C@@H]5[C@H]41
Z2633153141_28_T1,Z2633153141,-9.7,0.346,392.538,1.9187,6,2,76.66,8,28,none,none,none,REAL,CCCC[C@@H](CNC(=O)[C@@]1(C)C[C@@H]2CC[C@H]1O2)NC(=O)[C@@]1(C)C[C@@H]2CC[C@@H]1O2
Z1524785469_2_T1,Z1524785469,-9.7,0.323,394.473,4.543,4,1,49.41,3,30,none,none,none,REAL,O=C(c1cc2ccccc2c(=O)[nH]1)N1CCc2ccccc2[C@H]1Cc1ccccc1
Z1541121209_3_T1,Z1541121209,-9.7,0.313,433.531,3.3362,6,2,86.89,3,31,none,none,none,REAL,O=C([C@@H]1Nc2ccccc2S(=O)(=O)N1)N1CCc2ccccc2[C@H]1Cc1ccccc1
Z511797774_1,Z511797774,-9.7,0.303,443.526,4.6,6,0,78.43,1,32,high,high,none,REAL,O=C(c1ccc2c(c1)-c1ccccc1C2)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1
Z973896126_2_T1,Z973896126,-9.7,0.285,448.525,4.5602,6,2,78.09,4,34,high,high,none,REAL,Cc1n[nH]c(NC(=O)[C@H]2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)c1-c1ccccc1
ZINC000102709709_T4,ZINC000102709709,-9.7,0.269,491.532,5.7916,5,2,77.84,3,36,none,none,high,ZINC,C[C@H]1CCc2cc(F)cc3c2[C@H]1C(=O)C(CCc1c(O)c2cc(F)cc4c2n(c1=O)[C@@H](C)CC4)=C3O
ZINC000102709703_T4,ZINC000102709703,-9.7,0.269,491.532,5.7916,5,2,77.84,3,36,none,none,high,ZINC,C[C@H]1CCc2cc(F)cc3c2[C@@H]1C(=O)C(CCc1c(O)c2cc(F)cc4c2n(c1=O)[C@@H](C)CC4)=C3O
ZINC000101835650_T2,ZINC000101835650,-9.7,0.269,493.59,5.4753,7,2,97.29,4,36,none,none,none,ZINC,Cc1ccc([C@H]2C=C(c3ccccc3)Nc3nc(NS(=O)(=O)c4ccc5ccccc5c4)nn32)cc1
ZINC000408730040_T2,ZINC000408730040,-9.7,0.262,485.538,5.414,5,0,63.68,2,37,low,low,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@H]3c2ccccc2)cc1
ZINC000008449797_T3,ZINC000008449797,-9.7,0.255,493.561,5.53,4,0,46.61,3,38,none,none,none,ZINC,O=C1[C@H]2[C@H](C(=O)N1c1ccc(Oc3ccc4ccccc4c3)cc1)C1c3ccccc3C2c2ccccc21
Z1603395474_7_T1,Z1603395474,-9.6,0.31,421.543,2.8934,7,2,79.26,3,31,none,none,none,REAL,Cn1ccc(N2CCC[C@H](NC(=O)N[C@H]3C[C@H]4CCC(C)(C)c5cccc3c54)C2=O)n1
ZINC000102083157_T2,ZINC000102083157,-9.6,0.274,463.531,4.5649,5,0,63.68,6,35,none,none,high,ZINC,CC1=C[C@H]2C[C@H]1[C@H]1C(=O)N(c3cccc(OCC(=O)c4ccc(-c5ccccc5)cc4)c3)C(=O)[C@H]21
ZINC000229863492_T11,ZINC000229863492,-9.6,0.259,567.36,4.7487,5,0,57.69,4,37,none,none,none,ZINC,O=C(c1ccc(Br)cc1)[C@@H]1[C@@H]2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@@H]2[C@@H]2C=Cc3ccccc3N21
Z2902672278_1_T1,Z2902672278,-9.6,0.259,486.494,4.993,10,1,114.86,4,37,none,none,none,REAL,Cn1c(=O)[nH]c2ncc(-c3cccc(-c4nc(-c5ccc(-n6cnc7ccccc76)nc5)no4)c3)cc21
ZINC000408731626_T2,ZINC000408731626,-9.6,0.253,499.565,5.7579,5,0,63.68,2,38,low,high,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@H]3c2ccccc2)cc1C
ZINC000247797224_T11,ZINC000247797224,-9.6,0.253,497.553,4.2606,6,0,70.05,4,38,none,none,none,ZINC,O=C(c1ccc(-c2ccccc2)cc1)[C@@H]1[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@H]2[C@H]2c3ccccc3C=NN12
Z2086535021_4_T1,Z2086535021,-9.5,0.339,372.423,3.9209,5,1,58.64,2,28,none,high,none,REAL,O=C1N[C@@H](c2cccc3ccccc23)C(=O)N1[C@H]1CCc2ccccc2OC1
