Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z131645048_1_T1,Z131645048,-11.7,0.3441176,474.54,3.2223,8,2,107.2,2,34,high,high,none,REAL,O=C(c1ccc2c(c1)-c1ccccc1C2)N1CCN(S(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)CC1
Z2001060769_2_T2,Z2001060769,-11.7,0.3441176,447.497,4.4391,7,1,87.91,4,34,high,high,none,REAL,O=C1C[C@@H](c2nc(Cc3ccc4[nH]ncc4c3)no2)CN1c1ccc2c(c1)Cc1ccccc1-2
Z2001060769_2_T1,Z2001060769,-11.5,0.3382353,447.497,4.4391,7,1,87.91,4,34,high,high,none,REAL,O=C1C[C@@H](c2nc(Cc3ccc4[nH]ncc4c3)no2)CN1c1ccc2c(c1)Cc1ccccc1-2
Z2227147910_1_T1,Z2227147910,-11.3,0.353125,424.459,3.1498,7,3,90.54,3,32,high,high,none,REAL,O=C(Nc1cccc2[nH]c(=O)[nH]c12)[C@@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1
Z1927955742_1_T2,Z1927955742,-11.3,0.3424242,434.498,4.1104,6,1,89.18,4,33,high,high,none,REAL,Nc1ncc2c(n1)CCN(C(=O)CCC(=O)c1ccc3ccc4cccc5ccc1c3c45)C2
Z1454726034_1_T1,Z1454726034,-11.2,0.4,413.525,3.5727,7,1,129.04,2,28,high,high,none,REAL,Nc1nsc(N2CCN(S(=O)(=O)c3ccc4c(c3)Cc3ccccc3-4)CC2)n1
Z2178142149_1_T1,Z2178142149,-11.2,0.35,425.443,3.7001,7,2,87.74,3,32,high,high,none,REAL,O=C(Nc1cccc2[nH]c(=O)oc12)[C@@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1
Z1167185258_1_T1,Z1167185258,-11.2,0.35,427.478,4.8654,5,0,52.98,3,32,none,high,none,REAL,O=C(c1nn(-c2ccc(F)cc2)ccc1=O)N1CCC(c2cccc3ccccc23)CC1
Z1927955742_1_T1,Z1927955742,-11.2,0.3393939,434.498,4.1104,6,1,89.18,4,33,high,high,none,REAL,Nc1ncc2c(n1)CCN(C(=O)CCC(=O)c1ccc3ccc4cccc5ccc1c3c45)C2
Z806298542_2_T1,Z806298542,-11.2,0.3027027,494.593,3.3997,7,1,86.95,5,37,high,high,none,REAL,NC(=O)c1ccc(CN2CCN(C(=O)[C@H]3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)CC2)cc1
ZINC000000991029_T1,ZINC000000991029,-11.1,0.2846154,514.536,3.5726,7,2,103.78,4,39,none,none,none,ZINC,O=C(O)c1ccc(NC(=O)c2cccc(N3C(=O)[C@@H]4[C@@H](C3=O)C3c5ccccc5C4c4ccccc43)c2)cc1
ZINC000000991027_T1,ZINC000000991027,-11.1,0.2846154,514.536,3.5726,7,2,103.78,4,39,none,none,none,ZINC,O=C(O)c1ccc(NC(=O)c2cccc(N3C(=O)[C@H]4[C@@H](C3=O)C3c5ccccc5C4c4ccccc43)c2)cc1
Z2053436568_1_T1,Z2053436568,-11.1,0.3827586,387.486,4.4223,6,2,84.14,3,29,high,high,none,REAL,Cc1cc(-c2ccccc2)ccc1NC(=O)N1CCC[C@H](c2ccnc(N)n2)C1
Z1575962044_1_T1,Z1575962044,-11.1,0.346875,433.554,2.3036,7,2,91.56,5,32,none,none,none,REAL,Cc1cccc(C2=CCN(C(=O)NCc3cccnc3N3CCC(C(N)=O)CC3)CC2)c1
Z940088872_1_T2,Z940088872,-11.1,0.3363636,440.502,3.8917,7,1,72.96,3,33,none,high,none,REAL,CN1CC(=O)N(c2cccc(NC(=O)N3CC=C(c4cccc5ccccc45)CC3)c2)C1=O
Z1910609877_1_T1,Z1910609877,-11.1,0.3363636,443.506,3.8814,8,3,103.43,5,33,none,high,none,REAL,O=C(CCC(=O)N1CCC(c2cccc3ccccc23)CC1)Nc1ccc2[nH]c(=O)[nH]c2n1
Z1518156451_1_T4,Z1518156451,-11.1,0.3363636,444.533,3.0322,7,1,86.37,3,33,none,none,none,REAL,CC(=O)c1ccc2c(c1)CCN(C(=O)[C@@H]1CCCN(C(=O)c3ccc4[nH]ncc4c3)C1)CC2
ZINC000012360361_T1,ZINC000012360361,-11.1,0.3171429,458.516,2.7114,5,1,66.48,3,35,none,high,low,ZINC,O=C(Cc1cccc2ccccc21)NN1C(=O)[C@H]2[C@@H](C1=O)C1c3ccccc3C2c2ccccc21
Z2027241503_2,Z2027241503,-11,0.3666667,403.485,2.8708,7,2,107.24,4,30,none,none,none,REAL,NC(=O)c1ncn(C2CCN(C(=O)[C@H]3C[C@@H]3c3ccc4ccccc4c3)CC2)c1N
Z826980228_1_T4,Z826980228,-11,0.3548387,439.499,0.5632,10,2,132.08,3,31,none,none,none,REAL,Nc1nn2c(=O)cc(CN3CCN(S(=O)(=O)c4ccc5ccccc5c4)CC3)nc2[nH]1
Z1581633558_1_T1,Z1581633558,-11,0.3548387,413.476,3.7499,6,1,85.52,4,31,high,high,none,REAL,NC(=O)c1cc(OC2CCN(C(=O)c3ccc4c(c3)-c3ccccc3C4)CC2)ccn1
